Data;Hora;Turno;IBUTG (Int.);IBUTG (Ext.);TA;TG;TBU;Ponto de orvalho;UR;;;
16/01/2020;10:30:00;dia;30,2 °C; 30,0 °C; 33,3 °C; 35,2 °C; 28,0 °C; 26,1 °C;66,20%;;;
16/01/2020;10:32:00;dia;30,7 °C; 30,4 °C; 34,1 °C; 36,8 °C; 28,1 °C; 26,0 °C;62,90%;;;06:00
16/01/2020;10:34:00;dia;31,2 °C; 30,8 °C; 34,4 °C; 37,9 °C; 28,3 °C; 26,1 °C;62,00%;;;18:00
16/01/2020;10:36:00;dia;31,3 °C; 30,9 °C; 34,4 °C; 38,4 °C; 28,3 °C; 26,2 °C;62,60%;;;
16/01/2020;10:38:00;dia;32,1 °C; 31,6 °C; 35,1 °C; 40,1 °C; 28,7 °C; 26,5 °C;61,30%;;;
16/01/2020;10:40:00;dia;32,8 °C; 32,2 °C; 35,5 °C; 42,0 °C; 28,9 °C; 26,6 °C;60,20%;;;
16/01/2020;10:42:00;dia;32,3 °C; 31,8 °C; 35,5 °C; 40,6 °C; 28,8 °C; 26,5 °C;59,70%;;;
16/01/2020;10:44:00;dia;31,9 °C; 31,6 °C; 35,8 °C; 39,1 °C; 28,8 °C; 26,4 °C;58,70%;;;
16/01/2020;10:46:00;dia;31,6 °C; 31,3 °C; 35,5 °C; 38,2 °C; 28,7 °C; 26,3 °C;59,30%;;;
16/01/2020;10:48:00;dia;31,4 °C; 31,2 °C; 35,5 °C; 37,6 °C; 28,7 °C; 26,3 °C;59,00%;;;
16/01/2020;10:50:00;dia;31,4 °C; 31,2 °C; 35,6 °C; 37,6 °C; 28,7 °C; 26,3 °C;58,80%;;;
16/01/2020;10:52:00;dia;31,1 °C; 30,9 °C; 35,2 °C; 37,0 °C; 28,6 °C; 26,3 °C;60,10%;;;
16/01/2020;10:54:00;dia;31,2 °C; 31,0 °C; 34,7 °C; 36,8 °C; 28,8 °C; 26,8 °C;63,80%;;;
16/01/2020;10:56:00;dia;32,0 °C; 31,5 °C; 34,6 °C; 40,0 °C; 28,6 °C; 26,6 °C;63,20%;;;
16/01/2020;10:58:00;dia;33,0 °C; 32,3 °C; 35,2 °C; 42,1 °C; 29,1 °C; 27,0 °C;62,50%;;;
16/01/2020;11:00:00;dia;33,3 °C; 32,6 °C; 36,1 °C; 43,5 °C; 29,0 °C; 26,5 °C;57,80%;;;
16/01/2020;11:02:00;dia;34,1 °C; 33,3 °C; 37,3 °C; 45,4 °C; 29,3 °C; 26,5 °C;54,20%;;;
16/01/2020;11:04:00;dia;33,8 °C; 32,8 °C; 37,0 °C; 46,5 °C; 28,3 °C; 25,1 °C;50,80%;;;
16/01/2020;11:06:00;dia;35,4 °C; 34,4 °C; 39,6 °C; 49,8 °C; 29,3 °C; 25,6 °C;45,30%;;;
16/01/2020;11:08:00;dia;36,2 °C; 35,1 °C; 40,8 °C; 51,7 °C; 29,5 °C; 25,4 °C;42,20%;;;
16/01/2020;11:10:00;dia;36,3 °C; 35,1 °C; 40,3 °C; 52,1 °C; 29,5 °C; 25,7 °C;43,90%;;;
16/01/2020;11:12:00;dia;35,7 °C; 34,8 °C; 40,3 °C; 49,8 °C; 29,7 °C; 25,9 °C;44,60%;;;
16/01/2020;11:14:00;dia;35,0 °C; 34,2 °C; 39,7 °C; 47,9 °C; 29,5 °C; 25,9 °C;46,00%;;;
16/01/2020;11:16:00;dia;35,0 °C; 34,2 °C; 39,9 °C; 47,2 °C; 29,7 °C; 26,1 °C;46,00%;;;
16/01/2020;11:18:00;dia;34,5 °C; 33,7 °C; 39,7 °C; 47,5 °C; 28,9 °C; 24,9 °C;43,40%;;;
16/01/2020;11:20:00;dia;34,8 °C; 34,1 °C; 39,9 °C; 46,9 °C; 29,6 °C; 25,9 °C;45,40%;;;
16/01/2020;11:22:00;dia;34,3 °C; 33,8 °C; 40,0 °C; 45,2 °C; 29,6 °C; 25,9 °C;45,30%;;;
16/01/2020;11:24:00;dia;33,5 °C; 32,9 °C; 37,8 °C; 43,9 °C; 29,1 °C; 26,1 °C;51,40%;;;
16/01/2020;11:26:00;dia;32,8 °C; 32,2 °C; 36,5 °C; 43,1 °C; 28,4 °C; 25,4 °C;53,10%;;;
16/01/2020;11:28:00;dia;33,6 °C; 32,8 °C; 37,0 °C; 44,7 °C; 28,8 °C; 25,9 °C;53,30%;;;
16/01/2020;11:30:00;dia;34,4 °C; 33,6 °C; 38,0 °C; 46,0 °C; 29,4 °C; 26,4 °C;51,90%;;;
16/01/2020;11:32:00;dia;34,4 °C; 33,5 °C; 38,2 °C; 47,1 °C; 29,0 °C; 25,7 °C;49,20%;;;
16/01/2020;11:34:00;dia;34,8 °C; 34,1 °C; 39,5 °C; 47,1 °C; 29,6 °C; 26,1 °C;46,90%;;;
16/01/2020;11:36:00;dia;35,0 °C; 34,3 °C; 40,1 °C; 47,3 °C; 29,7 °C; 26,0 °C;45,40%;;;
16/01/2020;11:38:00;dia;34,9 °C; 34,2 °C; 40,5 °C; 47,6 °C; 29,5 °C; 25,6 °C;43,20%;;;
16/01/2020;11:40:00;dia;34,4 °C; 33,5 °C; 39,0 °C; 47,4 °C; 28,8 °C; 25,0 °C;45,20%;;;
16/01/2020;11:42:00;dia;34,2 °C; 33,7 °C; 40,5 °C; 45,2 °C; 29,5 °C; 25,6 °C;43,20%;;;
16/01/2020;11:44:00;dia;33,3 °C; 32,9 °C; 40,1 °C; 43,8 °C; 28,8 °C; 24,5 °C;41,50%;;;
16/01/2020;11:46:00;dia;33,2 °C; 32,6 °C; 38,3 °C; 43,6 °C; 28,7 °C; 25,1 °C;47,20%;;;
16/01/2020;11:48:00;dia;33,9 °C; 33,2 °C; 39,2 °C; 45,7 °C; 28,8 °C; 24,9 °C;44,40%;;;
16/01/2020;11:50:00;dia;33,6 °C; 33,0 °C; 39,1 °C; 44,7 °C; 28,8 °C; 25,0 °C;44,90%;;;
16/01/2020;11:52:00;dia;33,4 °C; 33,0 °C; 40,0 °C; 44,3 °C; 28,8 °C; 24,6 °C;41,90%;;;
16/01/2020;11:54:00;dia;33,7 °C; 33,3 °C; 40,6 °C; 44,4 °C; 29,1 °C; 24,7 °C;40,70%;;;
16/01/2020;11:56:00;dia;33,9 °C; 33,5 °C; 41,2 °C; 44,5 °C; 29,3 °C; 24,8 °C;39,80%;;;
16/01/2020;11:58:00;dia;34,0 °C; 33,7 °C; 41,7 °C; 44,4 °C; 29,5 °C; 25,0 °C;39,30%;;;
16/01/2020;12:00:00;dia;34,0 °C; 33,7 °C; 41,9 °C; 44,1 °C; 29,6 °C; 25,1 °C;39,00%;;;
16/01/2020;12:02:00;dia;34,0 °C; 33,8 °C; 42,1 °C; 44,0 °C; 29,7 °C; 25,2 °C;38,90%;;;
16/01/2020;12:04:00;dia;34,0 °C; 33,8 °C; 42,2 °C; 43,8 °C; 29,8 °C; 25,3 °C;38,90%;;;
16/01/2020;12:06:00;dia;34,0 °C; 33,9 °C; 42,3 °C; 43,7 °C; 29,9 °C; 25,4 °C;38,90%;;;
16/01/2020;12:08:00;dia;34,1 °C; 34,0 °C; 42,3 °C; 43,7 °C; 30,0 °C; 25,5 °C;39,10%;;;
16/01/2020;12:10:00;dia;34,1 °C; 34,0 °C; 42,4 °C; 43,6 °C; 30,0 °C; 25,6 °C;39,20%;;;
16/01/2020;12:12:00;dia;34,2 °C; 34,0 °C; 42,4 °C; 43,6 °C; 30,1 °C; 25,7 °C;39,30%;;;
16/01/2020;12:14:00;dia;33,0 °C; 32,8 °C; 40,9 °C; 43,0 °C; 28,7 °C; 23,9 °C;38,30%;;;
